timestamp,course,hear_web,hear_sm,hear_ce,hear_fam,hear_cs,hear_alum,hear_hs_tchr,hear_hs_gc,hear_iaa,hear_emp,hear_bb,hear_tv,hear_radio,hear_oth,att_cost,att_loc,att_prog,att_online,att_fam_ref,att_fac_staff,att_rep,att_finaid,att_scholar,att_sml_cls,att_extrac,att_tr_acc,att_neg_exp,att_njstars,att_tr_4yr,att_hs_cr,ev_oh,ev_idd,ev_ocis,ev_virt_info_2020o,ev_wwd,ev_rcf,ev_hs_st,ev_cp,ev_cyber,ev_info_hs,ev_cvhs,ev_cvi,ev_wfd_cls,ev_ct,ev_taf,ev_summer,imp_mhs_comp,imp_mhs_club,imp_comp_comp,imp_aftr_camp,imp_sum_camp,imp_ap_comp,imp_dual_comp,imp_fam,imp_fam_comp,imp_hs_tchr_gc,imp_emp,imp_cs,imp_exp_work,imp_oth,curr_deg,moti_deg_all_2020o,src_hs_gc,src_hs_tchr,src_it_web,src_adm,src_adv,src_emp,src_wfd,src_nj_wfd,src_oth,comp_1st,interest_in_more_classes,why_more_comp,gender,ethnicity,age,hear_hm_2223o,ev_tt_virt_2021a,ev_hoc_2223o,mot_job_comp_2021a,mot_tr_bach_2021a,mot_tr_hs_2021a,mot_career_adv_2021a,mot_career_ch_2021a,mot_prof_dev_2021a,mot_job_disp_2021a,mot_reloc_2021a,mot_curr_tech_2021a,mot_it_cert_2021a,mot_fin_2021a,mot_pers_enr_2021a,year
2020-07-28 15:21:36-05:00,CMP 239 Internet & Web Page Design,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Don't recall,Don't recall,No Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Career Change;Professional Development;Relocation;To keep current in tech industry;Financial;Personal Enrichment,No,No,Yes,No,Yes,No,No,No,No,First Choice,0.0,,Man,Black/African American,21-24,,,,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,2020
2020-07-28 16:07:22-05:00,CMP 239 Internet & Web Page Design,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Not Sure,Not Sure,Not Sure,Not Sure,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;IT Industry Certifications;Financial,No,No,Yes,No,No,No,No,No,No,Nursing,0.0,,Woman,Multi-Racial,25-34,,,,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,2020
2020-07-28 20:12:47-05:00,CMP 239 Internet & Web Page Design,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Career Change;Professional Development;Financial;Personal Enrichment,No,No,Yes,Yes,Yes,No,No,No,No,First Choice,0.0,,Man,Hispanic or Latino,35-64,,,,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,2020
2020-07-29 10:53:03-05:00,CMP 239 Internet & Web Page Design,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Non Degree seeking,,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,,4.0,"I would love to learn more about coding and programming , especially about other programming languages that can code high-level programs. I think coding is an important part of every field in the future, which is a part of our modernized future. It's also interesting to me, and I'd like to learn more about it.",Woman,Asian,18 and younger,,,,No,No,No,No,No,No,No,No,No,No,No,No,2020
2020-07-29 16:26:21-05:00,CMP 239 Internet & Web Page Design,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Change;IT Industry Certifications,No,No,Yes,Yes,Yes,No,No,No,No,First Choice,0.0,,Man,White/Caucasian,25-34,,,,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,2020
2020-07-30 13:10:46-05:00,CMP 239 Internet & Web Page Design,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Personal Enrichment,Yes,No,Yes,Yes,Don't recall,No,No,No,Yes,First Choice,0.0,,Man,White/Caucasian,19-20,,,,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,2020
2020-07-30 18:01:39-05:00,CMP 239 Internet & Web Page Design,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Web Development Certificate of Achievement,To get a job in the computing field;Career Advancement;Career Change;Professional Development;Financial;Personal Enrichment,No,No,Yes,Yes,No,No,No,No,No,completed a degree in Business Administration,0.0,,Woman,White/Caucasian,35-64,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,2020
2020-07-30 19:58:48-05:00,CMP 239 Internet & Web Page Design,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,No Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,"Information Technology, Applied Associate of Science",Transfer to bachelor's level program;Career Advancement;Career Change;IT Industry Certifications,No,No,Yes,Yes,Yes,No,Don't recall,Don't recall,Don't recall,First Choice,0.0,,Man,White/Caucasian,25-34,,,,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,2020
2020-07-31 13:58:09-05:00,CMP 239 Internet & Web Page Design,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program,No,No,No,No,No,No,No,No,No,undecided ,0.0,,Man,Asian,21-24,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,2020
2020-08-02 19:04:38-05:00,CMP 239 Internet & Web Page Design,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field,No,No,No,No,No,No,No,No,No,First Choice,0.0,,Man,Asian,21-24,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,2020
